action_id,recommendation_id,user_id,action_type,action_status,action_at
ACT00000001,REC00000002,USR000002,viewed,viewed,2026-06-01T16:00:00
ACT00000002,REC00000004,USR000006,dismissed,dismissed,2026-05-28T10:00:00
ACT00000003,REC00000005,USR000008,acknowledged,acknowledged,2026-08-27T16:00:00
ACT00000004,REC00000006,USR000011,dismissed,dismissed,2026-08-08T06:00:00
ACT00000005,REC00000007,USR000012,completed,completed,2026-04-20T15:00:00
ACT00000006,REC00000008,USR000012,acknowledged,acknowledged,2026-05-27T15:00:00
ACT00000007,REC00000009,USR000013,acknowledged,acknowledged,2026-05-27T02:00:00
ACT00000008,REC00000010,USR000014,completed,completed,2026-09-16T11:00:00
ACT00000009,REC00000012,USR000017,acknowledged,acknowledged,2026-03-30T01:00:00
ACT00000010,REC00000014,USR000020,dismissed,dismissed,2026-07-19T00:00:00
ACT00000011,REC00000015,USR000021,completed,completed,2026-05-08T19:00:00
ACT00000012,REC00000017,USR000022,completed,completed,2026-05-28T00:00:00
ACT00000013,REC00000018,USR000023,acknowledged,acknowledged,2026-09-14T17:00:00
ACT00000014,REC00000019,USR000024,dismissed,dismissed,2026-06-24T08:00:00
ACT00000015,REC00000020,USR000026,completed,completed,2026-09-17T15:00:00
ACT00000016,REC00000021,USR000028,completed,completed,2026-09-17T22:00:00
ACT00000017,REC00000022,USR000028,viewed,viewed,2026-07-28T16:00:00
ACT00000018,REC00000026,USR000031,viewed,viewed,2026-01-22T13:00:00
ACT00000019,REC00000027,USR000032,acknowledged,acknowledged,2026-05-29T01:00:00
ACT00000020,REC00000028,USR000033,acknowledged,acknowledged,2026-04-07T15:00:00
ACT00000021,REC00000029,USR000033,acknowledged,acknowledged,2026-07-30T05:00:00
ACT00000022,REC00000030,USR000034,completed,completed,2026-06-03T04:00:00
ACT00000023,REC00000031,USR000035,viewed,viewed,2026-07-02T06:00:00
ACT00000024,REC00000033,USR000041,viewed,viewed,2026-09-18T08:00:00
ACT00000025,REC00000035,USR000044,viewed,viewed,2026-05-25T03:00:00
ACT00000026,REC00000038,USR000046,acknowledged,acknowledged,2026-06-28T11:00:00
ACT00000027,REC00000039,USR000047,dismissed,dismissed,2026-08-12T07:00:00
ACT00000028,REC00000041,USR000049,viewed,viewed,2026-04-19T06:00:00
ACT00000029,REC00000044,USR000052,viewed,viewed,2026-06-25T08:00:00
ACT00000030,REC00000045,USR000055,viewed,viewed,2026-01-06T20:00:00
ACT00000031,REC00000046,USR000061,acknowledged,acknowledged,2026-09-15T06:00:00
ACT00000032,REC00000048,USR000062,viewed,viewed,2026-04-08T04:00:00
ACT00000033,REC00000050,USR000064,viewed,viewed,2026-02-09T22:00:00
ACT00000034,REC00000051,USR000065,viewed,viewed,2026-06-10T21:00:00
ACT00000035,REC00000053,USR000068,viewed,viewed,2026-07-07T11:00:00
ACT00000036,REC00000054,USR000069,viewed,viewed,2026-04-10T16:00:00
ACT00000037,REC00000055,USR000071,completed,completed,2026-06-06T15:00:00
ACT00000038,REC00000058,USR000073,acknowledged,acknowledged,2026-06-11T17:00:00
ACT00000039,REC00000060,USR000076,acknowledged,acknowledged,2026-09-17T19:00:00
ACT00000040,REC00000061,USR000076,viewed,viewed,2026-05-04T13:00:00
ACT00000041,REC00000062,USR000077,completed,completed,2026-06-20T10:00:00
ACT00000042,REC00000063,USR000078,completed,completed,2026-05-17T17:00:00
ACT00000043,REC00000064,USR000081,acknowledged,acknowledged,2026-04-23T15:00:00
ACT00000044,REC00000066,USR000083,acknowledged,acknowledged,2026-02-07T17:00:00
ACT00000045,REC00000069,USR000086,acknowledged,acknowledged,2026-09-08T00:00:00
ACT00000046,REC00000070,USR000087,acknowledged,acknowledged,2026-06-05T08:00:00
ACT00000047,REC00000071,USR000088,acknowledged,acknowledged,2026-09-16T02:00:00
ACT00000048,REC00000072,USR000089,acknowledged,acknowledged,2026-01-11T14:00:00
ACT00000049,REC00000073,USR000090,viewed,viewed,2026-06-13T03:00:00
ACT00000050,REC00000075,USR000093,viewed,viewed,2026-09-15T12:00:00
ACT00000051,REC00000076,USR000093,dismissed,dismissed,2026-09-02T12:00:00
ACT00000052,REC00000077,USR000094,viewed,viewed,2026-09-16T16:00:00
ACT00000053,REC00000080,USR000097,viewed,viewed,2026-06-17T08:00:00
ACT00000054,REC00000081,USR000098,acknowledged,acknowledged,2026-09-14T00:00:00
ACT00000055,REC00000082,USR000099,completed,completed,2026-08-21T00:00:00
ACT00000056,REC00000083,USR000099,acknowledged,acknowledged,2026-06-25T09:00:00
ACT00000057,REC00000087,USR000106,completed,completed,2026-08-12T00:00:00
ACT00000058,REC00000088,USR000107,viewed,viewed,2026-09-14T18:00:00
ACT00000059,REC00000089,USR000109,viewed,viewed,2026-09-14T05:00:00
ACT00000060,REC00000090,USR000112,completed,completed,2026-04-07T10:00:00
ACT00000061,REC00000092,USR000115,dismissed,dismissed,2026-06-15T04:00:00
ACT00000062,REC00000093,USR000117,viewed,viewed,2026-01-03T22:00:00
ACT00000063,REC00000097,USR000122,viewed,viewed,2026-09-17T04:00:00
ACT00000064,REC00000098,USR000123,viewed,viewed,2026-06-18T14:00:00
ACT00000065,REC00000099,USR000123,viewed,viewed,2026-08-04T14:00:00
ACT00000066,REC00000100,USR000128,acknowledged,acknowledged,2026-07-14T20:00:00
ACT00000067,REC00000101,USR000129,acknowledged,acknowledged,2026-09-14T13:00:00
ACT00000068,REC00000102,USR000130,acknowledged,acknowledged,2026-07-21T00:00:00
ACT00000069,REC00000103,USR000132,dismissed,dismissed,2026-04-29T01:00:00
ACT00000070,REC00000104,USR000132,acknowledged,acknowledged,2026-08-20T14:00:00
ACT00000071,REC00000106,USR000134,viewed,viewed,2026-05-11T06:00:00
ACT00000072,REC00000107,USR000135,acknowledged,acknowledged,2026-09-13T19:00:00
ACT00000073,REC00000108,USR000135,acknowledged,acknowledged,2026-09-15T09:00:00
ACT00000074,REC00000110,USR000137,viewed,viewed,2026-08-17T07:00:00
ACT00000075,REC00000111,USR000138,completed,completed,2026-09-17T16:00:00
ACT00000076,REC00000112,USR000138,viewed,viewed,2026-09-16T15:00:00
ACT00000077,REC00000113,USR000139,completed,completed,2026-07-13T17:00:00
ACT00000078,REC00000114,USR000141,acknowledged,acknowledged,2026-03-31T12:00:00
ACT00000079,REC00000115,USR000144,completed,completed,2026-05-02T19:00:00
ACT00000080,REC00000117,USR000145,completed,completed,2026-02-24T16:00:00
ACT00000081,REC00000119,USR000146,acknowledged,acknowledged,2026-05-04T09:00:00
ACT00000082,REC00000120,USR000147,acknowledged,acknowledged,2026-03-31T14:00:00
ACT00000083,REC00000121,USR000148,viewed,viewed,2026-09-14T23:00:00
ACT00000084,REC00000122,USR000148,viewed,viewed,2026-06-05T09:00:00
ACT00000085,REC00000123,USR000149,dismissed,dismissed,2026-08-15T16:00:00
ACT00000086,REC00000125,USR000150,viewed,viewed,2026-01-28T10:00:00
ACT00000087,REC00000126,USR000152,viewed,viewed,2026-01-12T23:00:00
ACT00000088,REC00000128,USR000155,viewed,viewed,2026-06-15T22:00:00
ACT00000089,REC00000129,USR000156,completed,completed,2026-04-11T08:00:00
ACT00000090,REC00000131,USR000162,acknowledged,acknowledged,2026-07-11T16:00:00
ACT00000091,REC00000132,USR000166,acknowledged,acknowledged,2026-07-30T08:00:00
ACT00000092,REC00000133,USR000167,viewed,viewed,2026-09-08T06:00:00
ACT00000093,REC00000134,USR000168,viewed,viewed,2026-06-05T01:00:00
ACT00000094,REC00000136,USR000170,viewed,viewed,2026-07-16T13:00:00
ACT00000095,REC00000137,USR000171,completed,completed,2026-06-29T16:00:00
ACT00000096,REC00000139,USR000172,acknowledged,acknowledged,2026-09-18T10:00:00
ACT00000097,REC00000140,USR000173,viewed,viewed,2026-06-12T02:00:00
ACT00000098,REC00000141,USR000174,viewed,viewed,2026-06-25T17:00:00
ACT00000099,REC00000142,USR000177,acknowledged,acknowledged,2026-05-18T11:00:00
ACT00000100,REC00000143,USR000178,viewed,viewed,2026-04-06T17:00:00
ACT00000101,REC00000144,USR000178,completed,completed,2026-02-22T14:00:00
ACT00000102,REC00000145,USR000180,viewed,viewed,2026-07-10T13:00:00
ACT00000103,REC00000146,USR000182,viewed,viewed,2026-09-14T13:00:00
ACT00000104,REC00000148,USR000185,dismissed,dismissed,2026-04-13T02:00:00
ACT00000105,REC00000150,USR000189,completed,completed,2026-03-01T15:00:00
ACT00000106,REC00000151,USR000189,viewed,viewed,2026-04-06T09:00:00
ACT00000107,REC00000154,USR000191,viewed,viewed,2026-08-12T03:00:00
ACT00000108,REC00000156,USR000193,viewed,viewed,2026-06-11T04:00:00
ACT00000109,REC00000157,USR000195,acknowledged,acknowledged,2026-05-03T11:00:00
ACT00000110,REC00000159,USR000198,viewed,viewed,2026-08-28T04:00:00
ACT00000111,REC00000161,USR000203,acknowledged,acknowledged,2026-09-15T07:00:00
ACT00000112,REC00000162,USR000205,acknowledged,acknowledged,2026-08-06T11:00:00
ACT00000113,REC00000165,USR000210,completed,completed,2026-05-29T21:00:00
ACT00000114,REC00000166,USR000212,acknowledged,acknowledged,2026-09-18T11:00:00
ACT00000115,REC00000167,USR000214,acknowledged,acknowledged,2026-06-21T04:00:00
ACT00000116,REC00000168,USR000215,completed,completed,2026-09-18T03:00:00
ACT00000117,REC00000169,USR000216,viewed,viewed,2026-09-14T13:00:00
ACT00000118,REC00000170,USR000217,acknowledged,acknowledged,2026-08-24T09:00:00
ACT00000119,REC00000171,USR000218,acknowledged,acknowledged,2026-06-28T16:00:00
ACT00000120,REC00000172,USR000219,viewed,viewed,2026-06-02T03:00:00
ACT00000121,REC00000173,USR000219,viewed,viewed,2026-05-07T09:00:00
ACT00000122,REC00000175,USR000222,viewed,viewed,2026-07-25T11:00:00
ACT00000123,REC00000176,USR000223,viewed,viewed,2026-08-19T19:00:00
ACT00000124,REC00000177,USR000224,dismissed,dismissed,2026-07-11T22:00:00
ACT00000125,REC00000179,USR000230,completed,completed,2026-02-24T07:00:00
ACT00000126,REC00000180,USR000232,dismissed,dismissed,2026-03-09T17:00:00
ACT00000127,REC00000181,USR000233,acknowledged,acknowledged,2026-08-21T14:00:00
ACT00000128,REC00000182,USR000234,viewed,viewed,2026-09-16T12:00:00
ACT00000129,REC00000183,USR000234,acknowledged,acknowledged,2026-06-22T21:00:00
ACT00000130,REC00000184,USR000242,completed,completed,2026-07-09T05:00:00
ACT00000131,REC00000187,USR000250,viewed,viewed,2026-04-24T03:00:00
ACT00000132,REC00000188,USR000251,acknowledged,acknowledged,2026-08-27T05:00:00
ACT00000133,REC00000190,USR000254,viewed,viewed,2026-01-25T10:00:00
ACT00000134,REC00000191,USR000256,viewed,viewed,2026-01-06T01:00:00
ACT00000135,REC00000194,USR000263,acknowledged,acknowledged,2026-07-14T10:00:00
ACT00000136,REC00000195,USR000266,viewed,viewed,2026-09-16T05:00:00
ACT00000137,REC00000197,USR000269,completed,completed,2026-06-25T01:00:00
ACT00000138,REC00000200,USR000274,viewed,viewed,2026-04-09T02:00:00
ACT00000139,REC00000201,USR000275,dismissed,dismissed,2026-05-19T00:00:00
ACT00000140,REC00000202,USR000276,viewed,viewed,2026-04-29T07:00:00
ACT00000141,REC00000204,USR000278,completed,completed,2026-05-01T04:00:00
ACT00000142,REC00000205,USR000280,viewed,viewed,2026-04-03T10:00:00
ACT00000143,REC00000206,USR000281,acknowledged,acknowledged,2026-01-17T03:00:00
ACT00000144,REC00000208,USR000283,viewed,viewed,2026-09-15T13:00:00
ACT00000145,REC00000209,USR000284,completed,completed,2026-02-28T21:00:00
ACT00000146,REC00000210,USR000285,acknowledged,acknowledged,2026-08-21T05:00:00
ACT00000147,REC00000211,USR000286,viewed,viewed,2026-09-15T05:00:00
ACT00000148,REC00000212,USR000287,dismissed,dismissed,2026-09-16T08:00:00
ACT00000149,REC00000213,USR000289,viewed,viewed,2026-04-05T09:00:00
ACT00000150,REC00000214,USR000290,viewed,viewed,2026-08-07T15:00:00
ACT00000151,REC00000216,USR000292,viewed,viewed,2026-08-29T14:00:00
ACT00000152,REC00000217,USR000294,viewed,viewed,2026-09-18T05:00:00
ACT00000153,REC00000218,USR000295,dismissed,dismissed,2026-07-06T15:00:00
ACT00000154,REC00000219,USR000298,completed,completed,2026-05-27T10:00:00
