session_id,user_id,assessment_type_id,started_at,completed_at,session_status,difficulty_level,device_type,consent_id
SES00000001,USR000001,AT003,2026-04-13T23:06:00,,abandoned,1,tablet,CON00000002
SES00000002,USR000001,AT002,2026-05-07T07:55:00,2026-05-07T07:56:08,completed,4,mobile,CON00000002
SES00000003,USR000001,AT001,2026-06-02T07:51:00,2026-06-02T07:52:37,completed,3,mobile,CON00000002
SES00000004,USR000001,AT004,2026-07-13T19:59:00,2026-07-13T20:00:04,completed,2,mobile,CON00000002
SES00000005,USR000002,AT004,2026-03-23T11:41:00,2026-03-23T11:41:55,completed,2,mobile,CON00000005
SES00000006,USR000002,AT003,2026-03-27T09:35:00,2026-03-27T09:35:54,completed,1,mobile,CON00000005
SES00000007,USR000002,AT003,2026-05-02T10:53:00,2026-05-02T10:53:51,completed,3,mobile,CON00000005
SES00000008,USR000002,AT002,2026-05-25T11:37:00,2026-05-25T11:37:43,completed,4,mobile,CON00000005
SES00000009,USR000002,AT003,2026-06-11T13:01:00,2026-06-11T13:02:17,completed,3,mobile,CON00000005
SES00000010,USR000002,AT002,2026-06-15T02:49:00,2026-06-15T02:50:16,completed,3,mobile,CON00000005
SES00000011,USR000002,AT002,2026-07-09T07:04:00,2026-07-09T07:04:54,completed,4,tablet,CON00000005
SES00000012,USR000003,AT003,2025-11-27T16:15:00,,abandoned,1,tablet,CON00000008
SES00000013,USR000003,AT002,2026-01-23T06:06:00,2026-01-23T06:07:04,completed,2,tablet,CON00000008
SES00000014,USR000003,AT003,2026-03-16T09:30:00,2026-03-16T09:30:38,completed,1,mobile,CON00000008
SES00000015,USR000003,AT005,2026-05-03T14:28:00,2026-05-03T14:28:46,completed,1,mobile,CON00000008
SES00000016,USR000003,AT004,2026-08-22T14:53:00,2026-08-22T14:53:52,completed,2,mobile,CON00000008
SES00000017,USR000003,AT001,2026-09-09T11:17:00,2026-09-09T11:17:34,completed,3,mobile,CON00000008
SES00000018,USR000004,AT002,2026-03-18T00:13:00,2026-03-18T00:13:48,completed,2,desktop,CON00000011
SES00000019,USR000004,AT003,2026-04-28T15:23:00,2026-04-28T15:23:42,completed,1,mobile,CON00000011
SES00000020,USR000004,AT002,2026-05-08T15:22:00,2026-05-08T15:22:49,completed,1,mobile,CON00000011
SES00000021,USR000004,AT005,2026-05-21T20:38:00,2026-05-21T20:38:40,completed,2,tablet,CON00000011
SES00000022,USR000004,AT004,2026-05-24T00:35:00,2026-05-24T00:36:03,completed,1,mobile,CON00000011
SES00000023,USR000004,AT005,2026-07-14T19:02:00,,interrupted,2,mobile,CON00000011
SES00000024,USR000004,AT004,2026-08-09T22:44:00,2026-08-09T22:45:29,completed,1,desktop,CON00000011
SES00000025,USR000004,AT003,2026-08-28T14:25:00,2026-08-28T14:25:39,completed,1,desktop,CON00000011
SES00000026,USR000004,AT001,2026-09-01T22:48:00,,abandoned,4,mobile,CON00000011
SES00000027,USR000005,AT005,2026-01-21T11:08:00,2026-01-21T11:09:14,completed,4,tablet,CON00000014
SES00000028,USR000005,AT005,2026-03-14T14:23:00,2026-03-14T14:23:40,completed,1,desktop,CON00000014
SES00000029,USR000005,AT001,2026-07-28T13:07:00,2026-07-28T13:08:11,completed,4,desktop,CON00000014
SES00000030,USR000005,AT002,2026-08-19T06:47:00,2026-08-19T06:48:18,completed,2,mobile,CON00000014
SES00000031,USR000005,AT002,2026-09-04T09:09:00,2026-09-04T09:10:11,completed,2,mobile,CON00000014
SES00000032,USR000006,AT001,2025-10-24T17:56:00,2025-10-24T17:56:45,completed,2,mobile,CON00000019
SES00000033,USR000006,AT005,2026-02-09T18:39:00,,abandoned,4,desktop,CON00000019
SES00000034,USR000006,AT005,2026-02-15T18:25:00,2026-02-15T18:25:46,completed,1,mobile,CON00000019
SES00000035,USR000006,AT003,2026-02-22T02:40:00,2026-02-22T02:41:11,completed,4,mobile,CON00000019
SES00000036,USR000006,AT003,2026-07-03T19:06:00,2026-07-03T19:06:57,completed,3,mobile,CON00000019
SES00000037,USR000006,AT004,2026-07-26T01:35:00,2026-07-26T01:35:57,completed,1,mobile,CON00000019
SES00000038,USR000006,AT001,2026-08-19T03:45:00,2026-08-19T03:46:03,completed,3,mobile,CON00000019
SES00000039,USR000007,AT002,2026-04-30T21:06:00,2026-04-30T21:07:16,completed,1,mobile,CON00000023
SES00000040,USR000007,AT002,2026-06-21T00:20:00,2026-06-21T00:21:06,completed,3,desktop,CON00000023
SES00000041,USR000007,AT005,2026-06-30T15:41:00,2026-06-30T15:41:32,completed,2,mobile,CON00000023
SES00000042,USR000007,AT004,2026-07-07T17:10:00,,abandoned,1,desktop,CON00000023
SES00000043,USR000008,AT002,2026-03-17T23:18:00,2026-03-17T23:18:35,completed,1,mobile,CON00000026
SES00000044,USR000008,AT005,2026-03-20T19:30:00,2026-03-20T19:30:55,completed,1,mobile,CON00000026
SES00000045,USR000008,AT005,2026-03-30T21:31:00,2026-03-30T21:31:55,completed,4,tablet,CON00000026
SES00000046,USR000008,AT005,2026-04-08T19:23:00,2026-04-08T19:24:16,completed,3,mobile,CON00000026
SES00000047,USR000008,AT004,2026-05-08T13:51:00,2026-05-08T13:52:21,completed,1,desktop,CON00000026
SES00000048,USR000008,AT002,2026-08-06T16:16:00,2026-08-06T16:16:51,completed,2,desktop,CON00000026
SES00000049,USR000008,AT001,2026-08-23T17:39:00,,abandoned,3,desktop,CON00000026
SES00000050,USR000008,AT005,2026-09-09T13:22:00,2026-09-09T13:23:05,completed,2,desktop,CON00000026
SES00000051,USR000009,AT005,2025-11-06T03:59:00,2025-11-06T04:00:39,completed,4,desktop,CON00000029
SES00000052,USR000009,AT004,2025-11-10T01:19:00,2025-11-10T01:19:32,completed,3,desktop,CON00000029
SES00000053,USR000009,AT001,2025-11-24T04:55:00,2025-11-24T04:56:00,completed,3,mobile,CON00000029
SES00000054,USR000009,AT005,2025-11-28T05:40:00,2025-11-28T05:40:44,completed,2,desktop,CON00000029
SES00000055,USR000009,AT002,2025-12-27T08:41:00,2025-12-27T08:41:50,completed,2,mobile,CON00000029
