task_id,assessment_type_id,task_name,task_type,default_difficulty,active
TSK001,AT001,Sequence Recall,sequence_recall,2,1
TSK002,AT001,Object Recall,object_recall,1,1
TSK003,AT002,Visual Search,visual_search,1,1
TSK004,AT002,Symbol Matching,symbol_matching,3,1
TSK005,AT003,Response Inhibition,response_inhibition,3,1
TSK006,AT003,Task Switching,task_switching,1,1
TSK007,AT004,Reaction Time,reaction_time,3,1
TSK008,AT004,Symbol Matching,symbol_matching,2,1
TSK009,AT005,Word Recognition,word_recognition,3,1
TSK010,AT005,Category Fluency,category_fluency,2,1
