consent_history_id,consent_id,user_id,previous_status,new_status,changed_at,reason
CH00000001,CON00000480,USR000145,granted,withdrawn,2026-04-20T10:17:00,User withdrawal
CH00000002,CON00000904,USR000275,granted,withdrawn,2026-09-04T13:25:00,User withdrawal
CH00000003,CON00001178,USR000358,granted,withdrawn,2026-06-05T13:05:00,User withdrawal
CH00000004,CON00001179,USR000358,granted,withdrawn,2026-06-28T12:36:00,User withdrawal
CH00000005,CON00001305,USR000398,granted,withdrawn,2026-08-11T22:10:00,User withdrawal
CH00000006,CON00001365,USR000418,granted,withdrawn,2026-04-16T09:19:00,User withdrawal
CH00000007,CON00001366,USR000418,granted,withdrawn,2026-07-31T09:13:00,User withdrawal
CH00000008,CON00001372,USR000420,granted,withdrawn,2026-05-13T07:01:00,User withdrawal
CH00000009,CON00001563,USR000478,granted,withdrawn,2026-07-26T01:06:00,User withdrawal
CH00000010,CON00001564,USR000478,granted,withdrawn,2026-04-08T01:18:00,User withdrawal
CH00000011,CON00001938,USR000591,granted,withdrawn,2026-05-06T07:25:00,User withdrawal
CH00000012,CON00002107,USR000646,granted,withdrawn,2026-07-27T16:29:00,User withdrawal
CH00000013,CON00002141,USR000656,granted,withdrawn,2026-08-01T16:18:00,User withdrawal
CH00000014,CON00002260,USR000695,granted,withdrawn,2026-08-26T10:50:00,User withdrawal
CH00000015,CON00002354,USR000723,granted,withdrawn,2026-07-23T23:25:00,User withdrawal
CH00000016,CON00002355,USR000723,granted,withdrawn,2026-08-04T23:53:00,User withdrawal
CH00000017,CON00002388,USR000735,granted,withdrawn,2026-06-12T09:46:00,User withdrawal
CH00000018,CON00002907,USR000897,granted,withdrawn,2026-05-23T09:30:00,User withdrawal
CH00000019,CON00002908,USR000897,granted,withdrawn,2026-06-24T09:04:00,User withdrawal
CH00000020,CON00003139,USR000970,granted,withdrawn,2026-09-12T21:15:00,User withdrawal
CH00000021,CON00003351,USR001035,granted,withdrawn,2026-07-10T21:16:00,User withdrawal
CH00000022,CON00003374,USR001043,granted,withdrawn,2026-05-16T04:52:00,User withdrawal
CH00000023,CON00003375,USR001043,granted,withdrawn,2026-09-03T04:46:00,User withdrawal
CH00000024,CON00004150,USR001282,granted,withdrawn,2026-05-31T19:03:00,User withdrawal
CH00000025,CON00004151,USR001282,granted,withdrawn,2026-04-30T19:18:00,User withdrawal
CH00000026,CON00004556,USR001410,granted,withdrawn,2026-04-24T17:33:00,User withdrawal
CH00000027,CON00005767,USR001787,granted,withdrawn,2026-08-01T01:34:00,User withdrawal
CH00000028,CON00005768,USR001787,granted,withdrawn,2026-09-05T02:20:00,User withdrawal
CH00000029,CON00005771,USR001788,granted,withdrawn,2026-06-12T01:03:00,User withdrawal
CH00000030,CON00005772,USR001788,granted,withdrawn,2026-08-20T01:58:00,User withdrawal
CH00000031,CON00006020,USR001867,granted,withdrawn,2026-05-04T10:05:00,User withdrawal
CH00000032,CON00006029,USR001870,granted,withdrawn,2026-08-23T16:25:00,User withdrawal
CH00000033,CON00006119,USR001898,granted,withdrawn,2026-06-19T00:38:00,User withdrawal
CH00000034,CON00006120,USR001898,granted,withdrawn,2026-06-12T01:21:00,User withdrawal
CH00000035,CON00006158,USR001910,granted,withdrawn,2026-07-27T16:02:00,User withdrawal
CH00000036,CON00006323,USR001961,granted,withdrawn,2026-03-22T02:35:00,User withdrawal
CH00000037,CON00006356,USR001971,granted,withdrawn,2026-07-10T00:09:00,User withdrawal
CH00000038,CON00006357,USR001971,granted,withdrawn,2026-03-13T00:52:00,User withdrawal
CH00000039,CON00006384,USR001979,granted,withdrawn,2026-05-10T11:51:00,User withdrawal
CH00000040,CON00006433,USR001993,granted,withdrawn,2026-08-07T17:51:00,User withdrawal
CH00000041,CON00006620,USR002052,granted,withdrawn,2026-07-09T11:21:00,User withdrawal
CH00000042,CON00006816,USR002113,granted,withdrawn,2026-06-16T23:49:00,User withdrawal
CH00000043,CON00006817,USR002113,granted,withdrawn,2026-06-01T23:54:00,User withdrawal
CH00000044,CON00006851,USR002124,granted,withdrawn,2026-06-08T21:37:00,User withdrawal
CH00000045,CON00007102,USR002200,granted,withdrawn,2026-03-03T04:01:00,User withdrawal
CH00000046,CON00007623,USR002358,granted,withdrawn,2026-06-22T07:19:00,User withdrawal
