consent_id,user_id,consent_type,purpose,consent_version,status,granted_at,withdrawn_at
CON00000001,USR000001,product_data_processing,Core product operation,1.0,granted,2025-12-08T06:08:00,
CON00000002,USR000001,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-12-13T12:22:00,
CON00000003,USR000001,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-12-13T12:18:00,
CON00000004,USR000002,product_data_processing,Core product operation,1.0,granted,2025-12-10T15:11:00,
CON00000005,USR000002,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-12-20T19:07:00,
CON00000006,USR000002,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-12-20T18:16:00,
CON00000007,USR000003,product_data_processing,Core product operation,1.0,granted,2025-11-01T14:23:00,
CON00000008,USR000003,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-11-15T21:07:00,
CON00000009,USR000003,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-11-15T21:13:00,
CON00000010,USR000004,product_data_processing,Core product operation,1.0,granted,2025-12-24T22:37:00,
CON00000011,USR000004,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2026-01-08T05:36:00,
CON00000012,USR000004,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2026-01-08T05:14:00,
CON00000013,USR000005,product_data_processing,Core product operation,1.0,granted,2025-12-16T15:57:00,
CON00000014,USR000005,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-12-28T22:05:00,
CON00000015,USR000005,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-12-28T22:17:00,
CON00000016,USR000005,health_reserve_data,Health Reserve preparedness assessments,1.0,granted,2025-12-17T20:10:00,
CON00000017,USR000005,research_use_optional,Optional research workflow,1.0,granted,2025-12-16T16:19:00,
CON00000018,USR000006,product_data_processing,Core product operation,1.0,granted,2025-10-06T01:29:00,
CON00000019,USR000006,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-10-17T07:15:00,
CON00000020,USR000006,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-10-17T08:26:00,
CON00000021,USR000006,health_reserve_data,Health Reserve preparedness assessments,1.0,granted,2025-10-16T02:17:00,
CON00000022,USR000007,product_data_processing,Core product operation,1.0,granted,2025-10-22T22:37:00,
CON00000023,USR000007,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-11-02T05:23:00,
CON00000024,USR000007,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-11-02T05:54:00,
CON00000025,USR000008,product_data_processing,Core product operation,1.0,granted,2026-02-07T22:24:00,
CON00000026,USR000008,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2026-02-16T03:09:00,
CON00000027,USR000008,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2026-02-16T03:40:00,
CON00000028,USR000009,product_data_processing,Core product operation,1.0,granted,2025-09-27T07:12:00,
CON00000029,USR000009,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-10-04T14:15:00,
CON00000030,USR000009,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-10-04T14:23:00,
CON00000031,USR000009,research_use_optional,Optional research workflow,1.0,granted,2025-09-27T07:10:00,
CON00000032,USR000010,product_data_processing,Core product operation,1.0,granted,2025-11-10T21:02:00,
CON00000033,USR000010,health_reserve_data,Health Reserve preparedness assessments,1.0,granted,2025-11-23T07:34:00,
CON00000034,USR000011,product_data_processing,Core product operation,1.0,granted,2026-01-23T06:38:00,
CON00000035,USR000011,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2026-01-28T07:43:00,
CON00000036,USR000011,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2026-01-28T08:20:00,
CON00000037,USR000012,product_data_processing,Core product operation,1.0,granted,2025-10-11T04:20:00,
CON00000038,USR000012,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-10-14T09:40:00,
CON00000039,USR000012,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-10-14T09:29:00,
CON00000040,USR000012,health_reserve_data,Health Reserve preparedness assessments,1.0,granted,2025-10-22T03:15:00,
CON00000041,USR000012,research_use_optional,Optional research workflow,1.0,granted,2025-10-11T03:50:00,
CON00000042,USR000013,product_data_processing,Core product operation,1.0,granted,2026-01-07T04:07:00,
CON00000043,USR000013,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2026-01-21T12:06:00,
CON00000044,USR000013,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2026-01-21T11:31:00,
CON00000045,USR000013,health_reserve_data,Health Reserve preparedness assessments,1.0,granted,2026-01-15T03:01:00,
CON00000046,USR000014,product_data_processing,Core product operation,1.0,granted,2025-12-02T09:17:00,
CON00000047,USR000014,health_reserve_data,Health Reserve preparedness assessments,1.0,granted,2025-12-10T13:02:00,
CON00000048,USR000015,product_data_processing,Core product operation,1.0,granted,2025-09-16T07:45:00,
CON00000049,USR000015,cognitive_assessment,MindGuard cognitive tasks,1.0,granted,2025-09-18T15:29:00,
CON00000050,USR000015,wellbeing_data,MindGuard wellbeing check-ins,1.0,granted,2025-09-18T15:37:00,
CON00000051,USR000016,product_data_processing,Core product operation,1.0,granted,2025-11-05T02:28:00,
CON00000052,USR000016,health_reserve_data,Health Reserve preparedness assessments,1.0,granted,2025-11-19T13:14:00,
CON00000053,USR000017,product_data_processing,Core product operation,1.0,granted,2025-11-23T08:51:00,
