context_id,user_id,related_session_id,recorded_at,context_type,context_value,source
CTX00000001,USR000001,SES00000004,2026-07-13T15:59:00,stress,high,self_report
CTX00000002,USR000002,SES00000006,2026-03-26T19:35:00,workload,high,self_report
CTX00000003,USR000002,SES00000007,2026-05-02T01:53:00,sleep,good,self_report
CTX00000004,USR000002,SES00000009,2026-06-11T03:01:00,sleep,fair,self_report
CTX00000005,USR000002,SES00000010,2026-06-14T08:49:00,sleep,good,self_report
CTX00000006,USR000003,SES00000014,2026-03-15T20:30:00,sleep,poor,self_report
CTX00000007,USR000003,SES00000016,2026-08-22T01:53:00,none,none,self_report
CTX00000008,USR000003,SES00000017,2026-09-08T19:17:00,stress,moderate,self_report
CTX00000009,USR000004,SES00000025,2026-08-28T04:25:00,illness_self_report,temporary_unwell,self_report
CTX00000010,USR000005,SES00000027,2026-01-20T22:08:00,medication_change_self_report,self_reported_change,self_report
CTX00000011,USR000005,SES00000028,2026-03-13T23:23:00,major_life_event,self_reported_event,self_report
CTX00000012,USR000005,SES00000029,2026-07-28T09:07:00,workload,high,self_report
CTX00000013,USR000005,SES00000030,2026-08-19T00:47:00,stress,high,self_report
CTX00000014,USR000006,SES00000033,2026-02-09T04:39:00,sleep,poor,self_report
CTX00000015,USR000006,SES00000036,2026-07-03T14:06:00,workload,normal,self_report
CTX00000016,USR000007,SES00000039,2026-04-30T05:06:00,stress,low,self_report
CTX00000017,USR000008,SES00000043,2026-03-17T17:18:00,stress,moderate,self_report
CTX00000018,USR000008,SES00000044,2026-03-20T10:30:00,stress,low,self_report
CTX00000019,USR000008,SES00000045,2026-03-30T20:31:00,illness_self_report,temporary_unwell,self_report
CTX00000020,USR000008,SES00000046,2026-04-07T20:23:00,sleep,good,self_report
CTX00000021,USR000008,SES00000047,2026-05-07T17:51:00,workload,high,self_report
CTX00000022,USR000008,SES00000049,2026-08-23T01:39:00,travel,recent_travel,self_report
CTX00000023,USR000009,SES00000052,2025-11-10T01:19:00,travel,recent_travel,self_report
CTX00000024,USR000009,SES00000055,2025-12-27T00:41:00,lifestyle_change,routine_change,self_report
CTX00000025,USR000009,SES00000058,2026-04-01T20:35:00,workload,high,self_report
CTX00000026,USR000011,SES00000061,2026-03-24T16:55:00,stress,high,self_report
CTX00000027,USR000011,SES00000062,2026-04-30T20:54:00,stress,moderate,self_report
CTX00000028,USR000011,SES00000064,2026-05-31T22:56:00,sleep,fair,self_report
CTX00000029,USR000011,SES00000065,2026-06-06T08:36:00,stress,high,self_report
CTX00000030,USR000011,SES00000066,2026-07-05T18:13:00,sleep,good,self_report
CTX00000031,USR000011,SES00000067,2026-09-12T20:23:00,lifestyle_change,routine_change,self_report
CTX00000032,USR000012,SES00000069,2025-10-23T17:44:00,stress,moderate,self_report
CTX00000033,USR000012,SES00000071,2026-03-25T12:19:00,major_life_event,self_reported_event,self_report
CTX00000034,USR000012,SES00000072,2026-04-07T11:21:00,major_life_event,self_reported_event,self_report
CTX00000035,USR000012,SES00000073,2026-08-21T15:30:00,workload,normal,self_report
CTX00000036,USR000013,SES00000076,2026-02-09T01:31:00,travel,recent_travel,self_report
CTX00000037,USR000013,SES00000077,2026-03-04T03:38:00,medication_change_self_report,self_reported_change,self_report
CTX00000038,USR000013,SES00000078,2026-03-09T02:38:00,travel,recent_travel,self_report
CTX00000039,USR000015,SES00000083,2025-12-09T11:44:00,major_life_event,self_reported_event,self_report
CTX00000040,USR000015,SES00000087,2026-07-05T17:02:00,workload,high,self_report
CTX00000041,USR000017,SES00000088,2026-01-25T17:06:00,sleep,good,self_report
CTX00000042,USR000017,SES00000089,2026-03-01T21:22:00,illness_self_report,temporary_unwell,self_report
CTX00000043,USR000017,SES00000090,2026-07-18T01:15:00,sleep,good,self_report
CTX00000044,USR000017,SES00000092,2026-08-04T07:58:00,illness_self_report,temporary_unwell,self_report
CTX00000045,USR000017,SES00000093,2026-08-20T17:53:00,illness_self_report,temporary_unwell,self_report
CTX00000046,USR000018,SES00000094,2026-02-18T20:55:00,sleep,poor,self_report
CTX00000047,USR000018,SES00000095,2026-03-06T13:09:00,sleep,good,self_report
CTX00000048,USR000018,SES00000097,2026-04-17T18:13:00,medication_change_self_report,self_reported_change,self_report
CTX00000049,USR000018,SES00000098,2026-04-20T02:12:00,sleep,fair,self_report
CTX00000050,USR000018,SES00000099,2026-06-03T20:08:00,stress,moderate,self_report
CTX00000051,USR000018,SES00000101,2026-08-16T04:39:00,illness_self_report,temporary_unwell,self_report
CTX00000052,USR000018,SES00000102,2026-08-28T12:45:00,illness_self_report,temporary_unwell,self_report
CTX00000053,USR000019,SES00000104,2026-03-12T09:12:00,sleep,good,self_report
CTX00000054,USR000019,SES00000107,2026-08-10T10:12:00,stress,low,self_report
CTX00000055,USR000019,SES00000108,2026-09-04T12:16:00,workload,normal,self_report
CTX00000056,USR000021,SES00000109,2025-12-05T03:17:00,workload,normal,self_report
CTX00000057,USR000021,SES00000110,2025-12-19T07:17:00,stress,low,self_report
CTX00000058,USR000021,SES00000113,2026-04-23T09:01:00,travel,recent_travel,self_report
CTX00000059,USR000022,SES00000115,2026-03-02T21:49:00,lifestyle_change,routine_change,self_report
CTX00000060,USR000022,SES00000116,2026-03-31T17:34:00,none,none,self_report
CTX00000061,USR000022,SES00000119,2026-07-17T19:57:00,sleep,fair,self_report
