reserve_assessment_id,user_id,assessed_at,healthcare_coverage_status,estimated_healthcare_exposure,emergency_health_resources,monthly_financial_obligations,number_of_dependants,current_preparedness_amount,preparedness_target,preparedness_gap,preparedness_ratio,reserve_status
HRA00000001,USR000005,2025-12-21T19:00:00,partial,653000,200000,167000,5,1096000,1419000,323000,0.772375,moderate
HRA00000002,USR000005,2026-02-09T19:00:00,insured,462000,361000,199000,3,1263000,1419000,156000,0.890063,strong
HRA00000003,USR000005,2026-03-26T19:00:00,insured,97000,337000,435000,0,1404000,1419000,15000,0.989429,strong
HRA00000004,USR000005,2026-05-14T19:00:00,uninsured,150000,168000,117000,2,1549000,1419000,0,1.091614,strong
HRA00000005,USR000005,2026-07-02T19:00:00,insured,625000,257000,595000,2,1796000,1419000,0,1.26568,strong
HRA00000006,USR000005,2026-08-27T19:00:00,insured,100000,168000,578000,4,2000000,1419000,0,1.409443,strong
HRA00000007,USR000006,2025-10-16T01:00:00,partial,179000,187000,387000,0,508000,669000,161000,0.759342,moderate
HRA00000008,USR000006,2025-12-09T01:00:00,uninsured,673000,310000,533000,3,495000,669000,174000,0.73991,moderate
HRA00000009,USR000006,2026-01-20T01:00:00,insured,640000,315000,395000,3,445000,669000,224000,0.665172,moderate
HRA00000010,USR000006,2026-03-11T01:00:00,insured,307000,431000,285000,4,483000,669000,186000,0.721973,moderate
HRA00000011,USR000006,2026-05-02T01:00:00,partial,104000,257000,553000,3,504000,669000,165000,0.753363,moderate
HRA00000012,USR000006,2026-06-23T01:00:00,uninsured,105000,235000,359000,0,469000,669000,200000,0.701046,moderate
HRA00000013,USR000006,2026-08-12T01:00:00,insured,202000,46000,61000,2,497000,669000,172000,0.7429,moderate
HRA00000014,USR000010,2025-11-23T07:00:00,insured,729000,62000,210000,5,358000,1546000,1188000,0.231565,low
HRA00000015,USR000010,2026-01-11T07:00:00,partial,591000,234000,279000,2,473000,1546000,1073000,0.305951,developing
HRA00000016,USR000010,2026-03-05T07:00:00,insured,763000,446000,171000,3,505000,1546000,1041000,0.326649,developing
HRA00000017,USR000010,2026-04-25T07:00:00,uninsured,606000,397000,358000,4,549000,1546000,997000,0.35511,developing
HRA00000018,USR000010,2026-06-09T07:00:00,uninsured,411000,344000,224000,4,632000,1546000,914000,0.408797,developing
HRA00000019,USR000010,2026-08-04T07:00:00,uninsured,185000,142000,330000,2,765000,1546000,781000,0.494825,developing
HRA00000020,USR000012,2025-10-22T03:00:00,insured,320000,181000,482000,0,930000,1440000,510000,0.645833,moderate
HRA00000021,USR000012,2025-12-13T03:00:00,insured,92000,377000,344000,1,1108000,1440000,332000,0.769444,moderate
HRA00000022,USR000012,2026-01-31T03:00:00,insured,569000,119000,421000,1,1100000,1440000,340000,0.763889,moderate
HRA00000023,USR000012,2026-03-18T03:00:00,insured,192000,9000,246000,1,1276000,1440000,164000,0.886111,strong
HRA00000024,USR000012,2026-05-12T03:00:00,uninsured,224000,289000,662000,3,1404000,1440000,36000,0.975,strong
HRA00000025,USR000012,2026-06-29T03:00:00,uninsured,732000,340000,250000,0,1489000,1440000,0,1.034028,strong
HRA00000026,USR000012,2026-08-18T03:00:00,partial,171000,487000,243000,4,1610000,1440000,0,1.118056,strong
HRA00000027,USR000013,2026-01-16T03:00:00,partial,285000,14000,488000,1,390000,1270000,880000,0.307087,developing
HRA00000028,USR000013,2026-03-09T03:00:00,partial,467000,388000,84000,5,325000,1270000,945000,0.255906,developing
HRA00000029,USR000013,2026-04-28T03:00:00,insured,401000,186000,309000,1,294000,1270000,976000,0.231496,low
HRA00000030,USR000013,2026-06-10T03:00:00,uninsured,247000,77000,515000,3,207000,1270000,1063000,0.162992,low
HRA00000031,USR000013,2026-08-04T03:00:00,uninsured,389000,314000,371000,1,265000,1270000,1005000,0.208661,low
HRA00000032,USR000014,2025-12-12T13:00:00,insured,455000,16000,87000,2,429000,556000,127000,0.771583,moderate
HRA00000033,USR000014,2026-02-02T13:00:00,uninsured,617000,215000,411000,1,490000,556000,66000,0.881295,strong
HRA00000034,USR000014,2026-03-20T13:00:00,partial,557000,361000,624000,2,548000,556000,8000,0.985612,strong
HRA00000035,USR000014,2026-05-09T13:00:00,uninsured,67000,424000,206000,5,574000,556000,0,1.032374,strong
