run_id,user_id,product_code,triggered_at,trigger_type,model_or_rule_version,input_start_date,input_end_date,run_status
RUN00000001,USR000001,MINDGUARD,2026-04-15T11:00:00,new_data,RULE_MG_V0.1,2025-12-13T11:00:00,2026-04-15T11:00:00,completed
RUN00000002,USR000002,MINDGUARD,2026-05-29T18:00:00,new_data,RULE_MG_V0.1,2025-12-20T18:00:00,2026-05-29T18:00:00,completed
RUN00000003,USR000004,MINDGUARD,2026-04-25T05:00:00,new_data,RULE_MG_V0.1,2026-01-08T05:00:00,2026-04-25T05:00:00,completed
RUN00000004,USR000006,HEALTH_RESERVE,2026-05-27T01:00:00,new_data,RULE_HR_V0.1,2025-10-16T01:00:00,2026-05-27T01:00:00,completed
RUN00000005,USR000008,MINDGUARD,2026-08-26T03:00:00,new_data,RULE_MG_V0.1,2026-02-16T03:00:00,2026-08-26T03:00:00,completed
RUN00000006,USR000011,MINDGUARD,2026-08-07T07:00:00,new_data,RULE_MG_V0.1,2026-01-28T07:00:00,2026-08-07T07:00:00,completed
RUN00000007,USR000012,MINDGUARD,2026-04-17T09:00:00,new_data,RULE_MG_V0.1,2025-10-14T09:00:00,2026-04-17T09:00:00,completed
RUN00000008,USR000012,HEALTH_RESERVE,2026-05-25T03:00:00,new_data,RULE_HR_V0.1,2025-10-22T03:00:00,2026-05-25T03:00:00,completed
RUN00000009,USR000013,HEALTH_RESERVE,2026-05-24T03:00:00,new_data,RULE_HR_V0.1,2026-01-15T03:00:00,2026-05-24T03:00:00,completed
RUN00000010,USR000014,HEALTH_RESERVE,2026-09-14T12:00:00,new_data,RULE_HR_V0.1,2025-12-10T13:00:00,2026-09-14T12:00:00,completed
RUN00000011,USR000015,MINDGUARD,2026-05-19T15:00:00,new_data,RULE_MG_V0.1,2025-09-18T15:00:00,2026-05-19T15:00:00,completed
RUN00000012,USR000017,MINDGUARD,2026-03-29T18:00:00,new_data,RULE_MG_V0.1,2025-11-26T18:00:00,2026-03-29T18:00:00,completed
RUN00000013,USR000019,MINDGUARD,2026-03-30T18:00:00,new_data,RULE_MG_V0.1,2025-12-15T18:00:00,2026-03-30T18:00:00,completed
RUN00000014,USR000020,HEALTH_RESERVE,2026-07-18T12:00:00,new_data,RULE_HR_V0.1,2026-01-13T12:00:00,2026-07-18T12:00:00,completed
RUN00000015,USR000021,MINDGUARD,2026-05-07T22:00:00,new_data,RULE_MG_V0.1,2025-11-06T22:00:00,2026-05-07T22:00:00,completed
RUN00000016,USR000022,MINDGUARD,2026-07-01T05:00:00,new_data,RULE_MG_V0.1,2025-12-25T05:00:00,2026-07-01T05:00:00,completed
RUN00000017,USR000022,HEALTH_RESERVE,2026-05-24T00:00:00,new_data,RULE_HR_V0.1,2026-01-02T00:00:00,2026-05-24T00:00:00,completed
RUN00000018,USR000023,MINDGUARD,2026-09-14T12:00:00,new_data,RULE_MG_V0.1,2026-02-06T04:00:00,2026-09-14T12:00:00,completed
RUN00000019,USR000024,MINDGUARD,2026-06-23T19:00:00,new_data,RULE_MG_V0.1,2025-11-15T19:00:00,2026-06-23T19:00:00,completed
RUN00000020,USR000026,MINDGUARD,2026-09-14T12:00:00,new_data,RULE_MG_V0.1,2026-01-19T07:00:00,2026-09-14T12:00:00,completed
RUN00000021,USR000028,MINDGUARD,2026-09-14T12:00:00,new_data,RULE_MG_V0.1,2026-01-21T17:00:00,2026-09-14T12:00:00,completed
RUN00000022,USR000028,HEALTH_RESERVE,2026-07-26T19:00:00,new_data,RULE_HR_V0.1,2026-01-27T19:00:00,2026-07-26T19:00:00,completed
RUN00000023,USR000029,MINDGUARD,2026-06-25T21:00:00,new_data,RULE_MG_V0.1,2025-10-13T21:00:00,2026-06-25T21:00:00,completed
RUN00000024,USR000030,MINDGUARD,2026-01-31T23:00:00,new_data,RULE_MG_V0.1,2025-10-02T23:00:00,2026-01-31T23:00:00,completed
RUN00000025,USR000031,MINDGUARD,2026-03-25T19:00:00,new_data,RULE_MG_V0.1,2025-10-08T19:00:00,2026-03-25T19:00:00,completed
RUN00000026,USR000031,HEALTH_RESERVE,2026-01-19T18:00:00,new_data,RULE_HR_V0.1,2025-10-01T18:00:00,2026-01-19T18:00:00,completed
RUN00000027,USR000032,MINDGUARD,2026-05-25T16:00:00,new_data,RULE_MG_V0.1,2025-10-17T16:00:00,2026-05-25T16:00:00,completed
RUN00000028,USR000033,MINDGUARD,2026-04-05T23:00:00,new_data,RULE_MG_V0.1,2025-10-13T23:00:00,2026-04-05T23:00:00,completed
RUN00000029,USR000033,HEALTH_RESERVE,2026-07-27T16:00:00,new_data,RULE_HR_V0.1,2025-10-09T16:00:00,2026-07-27T16:00:00,completed
RUN00000030,USR000034,MINDGUARD,2026-05-30T06:00:00,new_data,RULE_MG_V0.1,2025-10-08T06:00:00,2026-05-30T06:00:00,completed
RUN00000031,USR000035,MINDGUARD,2026-06-30T12:00:00,new_data,RULE_MG_V0.1,2025-11-13T12:00:00,2026-06-30T12:00:00,completed
RUN00000032,USR000037,MINDGUARD,2026-04-12T10:00:00,new_data,RULE_MG_V0.1,2025-12-31T10:00:00,2026-04-12T10:00:00,completed
RUN00000033,USR000041,MINDGUARD,2026-09-14T12:00:00,new_data,RULE_MG_V0.1,2026-02-06T12:00:00,2026-09-14T12:00:00,completed
RUN00000034,USR000042,HEALTH_RESERVE,2026-06-18T10:00:00,new_data,RULE_HR_V0.1,2026-01-25T10:00:00,2026-06-18T10:00:00,completed
RUN00000035,USR000044,MINDGUARD,2026-05-21T19:00:00,new_data,RULE_MG_V0.1,2025-12-15T19:00:00,2026-05-21T19:00:00,completed
RUN00000036,USR000044,HEALTH_RESERVE,2026-06-24T14:00:00,new_data,RULE_HR_V0.1,2025-12-11T14:00:00,2026-06-24T14:00:00,completed
