enrollment_id,user_id,product_code,enrollment_status,enrolled_at,discontinued_at
ENR00000001,USR000001,MINDGUARD,active,2025-12-13T11:00:00,
ENR00000002,USR000002,MINDGUARD,active,2025-12-20T18:00:00,
ENR00000003,USR000003,MINDGUARD,active,2025-11-15T21:00:00,
ENR00000004,USR000004,MINDGUARD,active,2026-01-08T05:00:00,
ENR00000005,USR000005,MINDGUARD,active,2025-12-28T22:00:00,
ENR00000006,USR000005,HEALTH_RESERVE,active,2025-12-17T19:00:00,
ENR00000007,USR000006,MINDGUARD,active,2025-10-17T07:00:00,
ENR00000008,USR000006,HEALTH_RESERVE,active,2025-10-16T01:00:00,
ENR00000009,USR000007,MINDGUARD,active,2025-11-02T05:00:00,
ENR00000010,USR000008,MINDGUARD,active,2026-02-16T03:00:00,
ENR00000011,USR000009,MINDGUARD,active,2025-10-04T13:00:00,
ENR00000012,USR000010,HEALTH_RESERVE,active,2025-11-23T07:00:00,
ENR00000013,USR000011,MINDGUARD,active,2026-01-28T07:00:00,
ENR00000014,USR000012,MINDGUARD,active,2025-10-14T09:00:00,
ENR00000015,USR000012,HEALTH_RESERVE,active,2025-10-22T03:00:00,
ENR00000016,USR000013,MINDGUARD,active,2026-01-21T11:00:00,
ENR00000017,USR000013,HEALTH_RESERVE,active,2026-01-15T03:00:00,
ENR00000018,USR000014,HEALTH_RESERVE,active,2025-12-10T13:00:00,
ENR00000019,USR000015,MINDGUARD,active,2025-09-18T15:00:00,
ENR00000020,USR000016,HEALTH_RESERVE,active,2025-11-19T12:00:00,
ENR00000021,USR000017,MINDGUARD,active,2025-11-26T18:00:00,
ENR00000022,USR000017,HEALTH_RESERVE,active,2025-11-25T17:00:00,
ENR00000023,USR000018,MINDGUARD,active,2026-02-10T13:00:00,
ENR00000024,USR000019,MINDGUARD,active,2025-12-15T18:00:00,
ENR00000025,USR000020,HEALTH_RESERVE,active,2026-01-13T12:00:00,
ENR00000026,USR000021,MINDGUARD,active,2025-11-06T22:00:00,
ENR00000027,USR000022,MINDGUARD,active,2025-12-25T05:00:00,
ENR00000028,USR000022,HEALTH_RESERVE,active,2026-01-02T00:00:00,
ENR00000029,USR000023,MINDGUARD,active,2026-02-06T04:00:00,
ENR00000030,USR000024,MINDGUARD,active,2025-11-15T19:00:00,
ENR00000031,USR000025,MINDGUARD,active,2025-11-13T04:00:00,
ENR00000032,USR000026,MINDGUARD,active,2026-01-19T07:00:00,
ENR00000033,USR000027,HEALTH_RESERVE,active,2025-10-16T21:00:00,
ENR00000034,USR000028,MINDGUARD,active,2026-01-21T17:00:00,
ENR00000035,USR000028,HEALTH_RESERVE,active,2026-01-27T19:00:00,
ENR00000036,USR000029,MINDGUARD,active,2025-10-13T21:00:00,
ENR00000037,USR000030,MINDGUARD,active,2025-10-02T23:00:00,
ENR00000038,USR000031,MINDGUARD,active,2025-10-08T19:00:00,
ENR00000039,USR000031,HEALTH_RESERVE,active,2025-10-01T18:00:00,
ENR00000040,USR000032,MINDGUARD,active,2025-10-17T16:00:00,
ENR00000041,USR000033,MINDGUARD,active,2025-10-13T23:00:00,
ENR00000042,USR000033,HEALTH_RESERVE,active,2025-10-09T16:00:00,
ENR00000043,USR000034,MINDGUARD,active,2025-10-08T06:00:00,
ENR00000044,USR000035,MINDGUARD,active,2025-11-13T12:00:00,
ENR00000045,USR000036,MINDGUARD,active,2025-11-13T15:00:00,
ENR00000046,USR000036,HEALTH_RESERVE,active,2025-11-13T01:00:00,
ENR00000047,USR000037,MINDGUARD,active,2025-12-31T10:00:00,
ENR00000048,USR000038,MINDGUARD,active,2025-10-25T03:00:00,
ENR00000049,USR000039,MINDGUARD,active,2026-02-13T03:00:00,
ENR00000050,USR000039,HEALTH_RESERVE,active,2026-02-21T18:00:00,
ENR00000051,USR000040,HEALTH_RESERVE,active,2026-02-06T11:00:00,
ENR00000052,USR000041,MINDGUARD,active,2026-02-06T12:00:00,
ENR00000053,USR000042,MINDGUARD,active,2026-01-19T13:00:00,
ENR00000054,USR000042,HEALTH_RESERVE,active,2026-01-25T10:00:00,
ENR00000055,USR000043,MINDGUARD,active,2025-09-27T06:00:00,
ENR00000056,USR000044,MINDGUARD,active,2025-12-15T19:00:00,
ENR00000057,USR000044,HEALTH_RESERVE,active,2025-12-11T14:00:00,
ENR00000058,USR000045,MINDGUARD,active,2025-11-13T23:00:00,
ENR00000059,USR000045,HEALTH_RESERVE,active,2025-11-15T12:00:00,
ENR00000060,USR000046,MINDGUARD,active,2025-10-23T09:00:00,
ENR00000061,USR000047,MINDGUARD,active,2026-01-15T07:00:00,
ENR00000062,USR000048,HEALTH_RESERVE,active,2025-10-28T20:00:00,
ENR00000063,USR000049,MINDGUARD,active,2026-01-03T13:00:00,
ENR00000064,USR000049,HEALTH_RESERVE,active,2026-01-09T05:00:00,
ENR00000065,USR000050,MINDGUARD,active,2025-09-28T10:00:00,
ENR00000066,USR000051,MINDGUARD,active,2025-12-13T14:00:00,
ENR00000067,USR000052,MINDGUARD,active,2025-10-07T01:00:00,
ENR00000068,USR000053,HEALTH_RESERVE,active,2025-12-16T19:00:00,
ENR00000069,USR000054,MINDGUARD,active,2026-01-24T06:00:00,
ENR00000070,USR000055,MINDGUARD,active,2025-10-11T01:00:00,
ENR00000071,USR000055,HEALTH_RESERVE,active,2025-10-07T22:00:00,
ENR00000072,USR000056,MINDGUARD,active,2025-12-26T20:00:00,
ENR00000073,USR000057,MINDGUARD,active,2025-12-31T18:00:00,
ENR00000074,USR000058,HEALTH_RESERVE,active,2025-11-21T10:00:00,
ENR00000075,USR000059,MINDGUARD,active,2025-12-28T06:00:00,
ENR00000076,USR000060,MINDGUARD,active,2025-12-06T02:00:00,
ENR00000077,USR000061,MINDGUARD,active,2025-12-26T08:00:00,
ENR00000078,USR000061,HEALTH_RESERVE,active,2026-01-02T05:00:00,
ENR00000079,USR000062,MINDGUARD,active,2025-10-17T09:00:00,
ENR00000080,USR000062,HEALTH_RESERVE,active,2025-10-13T04:00:00,
ENR00000081,USR000063,HEALTH_RESERVE,active,2026-01-06T14:00:00,
ENR00000082,USR000064,MINDGUARD,active,2025-10-31T15:00:00,
ENR00000083,USR000065,MINDGUARD,active,2026-01-09T17:00:00,
ENR00000084,USR000065,HEALTH_RESERVE,active,2026-01-04T10:00:00,
ENR00000085,USR000066,MINDGUARD,active,2025-11-05T22:00:00,
ENR00000086,USR000067,HEALTH_RESERVE,active,2025-12-30T03:00:00,
ENR00000087,USR000068,MINDGUARD,active,2025-10-09T02:00:00,
ENR00000088,USR000069,MINDGUARD,active,2025-09-27T07:00:00,
ENR00000089,USR000070,MINDGUARD,active,2026-01-14T06:00:00,
ENR00000090,USR000071,MINDGUARD,active,2025-09-23T22:00:00,
ENR00000091,USR000072,MINDGUARD,active,2025-10-17T02:00:00,
ENR00000092,USR000072,HEALTH_RESERVE,active,2025-10-25T22:00:00,
ENR00000093,USR000073,MINDGUARD,active,2025-12-05T19:00:00,
ENR00000094,USR000073,HEALTH_RESERVE,active,2025-11-29T00:00:00,
ENR00000095,USR000074,MINDGUARD,active,2026-01-30T18:00:00,
ENR00000096,USR000075,MINDGUARD,active,2026-02-08T08:00:00,
ENR00000097,USR000076,MINDGUARD,active,2025-12-20T10:00:00,
ENR00000098,USR000076,HEALTH_RESERVE,active,2025-12-18T04:00:00,
ENR00000099,USR000077,HEALTH_RESERVE,active,2025-12-03T15:00:00,
ENR00000100,USR000078,MINDGUARD,active,2025-10-06T19:00:00,
ENR00000101,USR000079,MINDGUARD,active,2026-01-07T19:00:00,
ENR00000102,USR000080,MINDGUARD,active,2026-01-29T01:00:00,
ENR00000103,USR000081,HEALTH_RESERVE,active,2025-11-22T08:00:00,
ENR00000104,USR000082,MINDGUARD,active,2025-10-12T06:00:00,
ENR00000105,USR000083,MINDGUARD,active,2025-10-12T13:00:00,
ENR00000106,USR000084,HEALTH_RESERVE,active,2025-12-23T10:00:00,
ENR00000107,USR000085,HEALTH_RESERVE,active,2025-12-16T12:00:00,
ENR00000108,USR000086,MINDGUARD,active,2025-12-18T21:00:00,
ENR00000109,USR000087,MINDGUARD,active,2025-12-07T05:00:00,
ENR00000110,USR000088,MINDGUARD,active,2025-12-26T19:00:00,
ENR00000111,USR000088,HEALTH_RESERVE,active,2026-01-01T19:00:00,
ENR00000112,USR000089,MINDGUARD,active,2025-10-04T00:00:00,
ENR00000113,USR000089,HEALTH_RESERVE,active,2025-10-01T00:00:00,
ENR00000114,USR000090,MINDGUARD,active,2026-02-11T23:00:00,
ENR00000115,USR000091,MINDGUARD,active,2025-10-06T12:00:00,
ENR00000116,USR000092,MINDGUARD,active,2025-10-20T10:00:00,
ENR00000117,USR000093,MINDGUARD,active,2026-01-23T18:00:00,
ENR00000118,USR000093,HEALTH_RESERVE,active,2026-01-31T14:00:00,
ENR00000119,USR000094,MINDGUARD,active,2025-12-22T21:00:00,
ENR00000120,USR000095,MINDGUARD,active,2025-11-03T03:00:00,
ENR00000121,USR000095,HEALTH_RESERVE,active,2025-11-02T03:00:00,
ENR00000122,USR000096,MINDGUARD,active,2026-01-16T05:00:00,
ENR00000123,USR000097,MINDGUARD,active,2025-11-05T07:00:00,
ENR00000124,USR000098,MINDGUARD,active,2026-02-06T10:00:00,
ENR00000125,USR000099,MINDGUARD,active,2026-02-14T22:00:00,
ENR00000126,USR000099,HEALTH_RESERVE,active,2026-02-17T06:00:00,
ENR00000127,USR000100,MINDGUARD,active,2025-11-18T06:00:00,
ENR00000128,USR000101,MINDGUARD,active,2026-02-12T08:00:00,
ENR00000129,USR000102,MINDGUARD,active,2025-09-24T03:00:00,
ENR00000130,USR000103,MINDGUARD,active,2025-12-19T06:00:00,
ENR00000131,USR000104,MINDGUARD,active,2025-11-10T06:00:00,
ENR00000132,USR000105,HEALTH_RESERVE,active,2025-10-13T15:00:00,
ENR00000133,USR000106,HEALTH_RESERVE,active,2025-12-08T13:00:00,
ENR00000134,USR000107,MINDGUARD,active,2026-01-17T04:00:00,
ENR00000135,USR000108,HEALTH_RESERVE,active,2026-02-08T06:00:00,
ENR00000136,USR000109,MINDGUARD,active,2026-01-08T19:00:00,
ENR00000137,USR000109,HEALTH_RESERVE,active,2026-01-15T19:00:00,
ENR00000138,USR000110,MINDGUARD,active,2025-10-27T08:00:00,
ENR00000139,USR000111,HEALTH_RESERVE,active,2025-12-25T10:00:00,
ENR00000140,USR000112,HEALTH_RESERVE,active,2025-10-13T00:00:00,
ENR00000141,USR000113,MINDGUARD,active,2025-11-16T00:00:00,
ENR00000142,USR000114,MINDGUARD,active,2025-11-10T21:00:00,
ENR00000143,USR000115,HEALTH_RESERVE,active,2025-12-21T11:00:00,
ENR00000144,USR000116,MINDGUARD,active,2025-12-31T23:00:00,
ENR00000145,USR000117,MINDGUARD,active,2025-09-30T22:00:00,
ENR00000146,USR000118,HEALTH_RESERVE,active,2026-01-13T14:00:00,
ENR00000147,USR000119,HEALTH_RESERVE,active,2025-10-08T17:00:00,
ENR00000148,USR000120,HEALTH_RESERVE,active,2025-09-20T04:00:00,
ENR00000149,USR000121,MINDGUARD,active,2026-01-31T15:00:00,
ENR00000150,USR000122,MINDGUARD,active,2026-01-05T07:00:00,
ENR00000151,USR000122,HEALTH_RESERVE,active,2026-01-03T04:00:00,
ENR00000152,USR000123,MINDGUARD,active,2025-10-23T09:00:00,
ENR00000153,USR000123,HEALTH_RESERVE,active,2025-10-24T08:00:00,
ENR00000154,USR000124,MINDGUARD,active,2025-10-27T07:00:00,
ENR00000155,USR000125,MINDGUARD,active,2025-11-16T01:00:00,
ENR00000156,USR000126,MINDGUARD,active,2025-11-22T13:00:00,
ENR00000157,USR000127,HEALTH_RESERVE,active,2025-12-07T11:00:00,
ENR00000158,USR000128,MINDGUARD,active,2025-10-20T17:00:00,
ENR00000159,USR000129,MINDGUARD,active,2026-02-16T06:00:00,
ENR00000160,USR000130,MINDGUARD,active,2026-01-18T00:00:00,
ENR00000161,USR000131,MINDGUARD,active,2026-01-18T02:00:00,
ENR00000162,USR000132,MINDGUARD,active,2025-11-26T21:00:00,
ENR00000163,USR000132,HEALTH_RESERVE,active,2025-11-22T20:00:00,
ENR00000164,USR000133,MINDGUARD,active,2025-11-06T15:00:00,
ENR00000165,USR000133,HEALTH_RESERVE,active,2025-11-13T17:00:00,
ENR00000166,USR000134,MINDGUARD,active,2025-10-09T13:00:00,
ENR00000167,USR000134,HEALTH_RESERVE,active,2025-10-19T20:00:00,
ENR00000168,USR000135,MINDGUARD,active,2025-12-29T03:00:00,
ENR00000169,USR000135,HEALTH_RESERVE,active,2025-12-29T02:00:00,
ENR00000170,USR000136,MINDGUARD,active,2025-09-27T01:00:00,
ENR00000171,USR000137,MINDGUARD,active,2026-01-05T11:00:00,
ENR00000172,USR000138,MINDGUARD,active,2026-02-06T17:00:00,
ENR00000173,USR000138,HEALTH_RESERVE,active,2026-02-06T17:00:00,
ENR00000174,USR000139,MINDGUARD,active,2025-10-02T03:00:00,
ENR00000175,USR000139,HEALTH_RESERVE,active,2025-09-23T01:00:00,
ENR00000176,USR000140,MINDGUARD,active,2025-12-02T10:00:00,
ENR00000177,USR000141,MINDGUARD,active,2025-12-03T23:00:00,
ENR00000178,USR000142,HEALTH_RESERVE,active,2025-11-10T16:00:00,
ENR00000179,USR000143,MINDGUARD,active,2025-09-28T16:00:00,
ENR00000180,USR000144,MINDGUARD,active,2026-01-22T10:00:00,
ENR00000181,USR000145,MINDGUARD,discontinued,2025-10-27T09:00:00,2026-04-20T10:17:00
ENR00000182,USR000145,HEALTH_RESERVE,active,2025-11-03T07:00:00,
ENR00000183,USR000146,MINDGUARD,active,2025-10-15T13:00:00,
ENR00000184,USR000146,HEALTH_RESERVE,active,2025-10-22T06:00:00,
ENR00000185,USR000147,HEALTH_RESERVE,active,2025-12-23T14:00:00,
ENR00000186,USR000148,MINDGUARD,active,2026-01-24T03:00:00,
ENR00000187,USR000148,HEALTH_RESERVE,active,2026-01-25T00:00:00,
ENR00000188,USR000149,MINDGUARD,active,2025-11-23T00:00:00,
ENR00000189,USR000150,MINDGUARD,active,2025-10-08T16:00:00,
ENR00000190,USR000150,HEALTH_RESERVE,active,2025-10-20T16:00:00,
ENR00000191,USR000151,HEALTH_RESERVE,active,2026-01-13T04:00:00,
ENR00000192,USR000152,MINDGUARD,active,2025-10-05T20:00:00,
ENR00000193,USR000153,HEALTH_RESERVE,active,2025-12-02T20:00:00,
ENR00000194,USR000154,MINDGUARD,active,2025-10-07T09:00:00,
ENR00000195,USR000154,HEALTH_RESERVE,active,2025-10-06T12:00:00,
