recommendation_id,insight_id,user_id,product_code,recommendation_type,recommendation_text,priority,created_at
REC00000001,INS00000001,USR000001,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-04-15T11:00:20
REC00000002,INS00000002,USR000002,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-05-29T18:00:20
REC00000003,INS00000003,USR000004,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-04-25T05:00:20
REC00000004,INS00000004,USR000006,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-27T01:00:20
REC00000005,INS00000005,USR000008,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-08-26T03:00:20
REC00000006,INS00000006,USR000011,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-08-07T07:00:20
REC00000007,INS00000007,USR000012,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-04-17T09:00:20
REC00000008,INS00000008,USR000012,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-05-25T03:00:20
REC00000009,INS00000009,USR000013,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-24T03:00:20
REC00000010,INS00000010,USR000014,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,low,2026-09-14T12:00:20
REC00000011,INS00000011,USR000015,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-05-19T15:00:20
REC00000012,INS00000012,USR000017,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-03-29T18:00:20
REC00000013,INS00000013,USR000019,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-03-30T18:00:20
REC00000014,INS00000014,USR000020,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,low,2026-07-18T12:00:20
REC00000015,INS00000015,USR000021,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-05-07T22:00:20
REC00000016,INS00000016,USR000022,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-07-01T05:00:20
REC00000017,INS00000017,USR000022,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-24T00:00:20
REC00000018,INS00000018,USR000023,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000019,INS00000019,USR000024,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,medium,2026-06-23T19:00:20
REC00000020,INS00000020,USR000026,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-09-14T12:00:20
REC00000021,INS00000021,USR000028,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,medium,2026-09-14T12:00:20
REC00000022,INS00000022,USR000028,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-07-26T19:00:20
REC00000023,INS00000023,USR000029,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-06-25T21:00:20
REC00000024,INS00000024,USR000030,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-01-31T23:00:20
REC00000025,INS00000025,USR000031,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-03-25T19:00:20
REC00000026,INS00000026,USR000031,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-01-19T18:00:20
REC00000027,INS00000027,USR000032,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-05-25T16:00:20
REC00000028,INS00000028,USR000033,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-04-05T23:00:20
REC00000029,INS00000029,USR000033,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-07-27T16:00:20
REC00000030,INS00000030,USR000034,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-05-30T06:00:20
REC00000031,INS00000031,USR000035,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-06-30T12:00:20
REC00000032,INS00000032,USR000037,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-04-12T10:00:20
REC00000033,INS00000033,USR000041,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,low,2026-09-14T12:00:20
REC00000034,INS00000034,USR000042,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-06-18T10:00:20
REC00000035,INS00000035,USR000044,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-05-21T19:00:20
REC00000036,INS00000036,USR000044,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-06-24T14:00:20
REC00000037,INS00000037,USR000045,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,medium,2026-07-14T23:00:20
REC00000038,INS00000038,USR000046,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-06-28T09:00:20
REC00000039,INS00000039,USR000047,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-08-08T07:00:20
REC00000040,INS00000040,USR000048,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-03-11T20:00:20
REC00000041,INS00000041,USR000049,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-04-17T13:00:20
REC00000042,INS00000042,USR000049,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-09-14T12:00:20
REC00000043,INS00000043,USR000051,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000044,INS00000044,USR000052,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-06-22T01:00:20
REC00000045,INS00000045,USR000055,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-01-05T22:00:20
REC00000046,INS00000046,USR000061,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-09-14T12:00:20
REC00000047,INS00000047,USR000062,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-02-24T09:00:20
REC00000048,INS00000048,USR000062,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,medium,2026-04-05T04:00:20
REC00000049,INS00000049,USR000063,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-05-23T14:00:20
REC00000050,INS00000050,USR000064,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-02-09T15:00:20
REC00000051,INS00000051,USR000065,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-06-10T17:00:20
REC00000052,INS00000052,USR000066,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-03-28T22:00:20
REC00000053,INS00000053,USR000068,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-07-06T02:00:20
REC00000054,INS00000054,USR000069,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-04-09T07:00:20
REC00000055,INS00000055,USR000071,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-06-05T22:00:20
REC00000056,INS00000056,USR000072,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-06-05T02:00:20
REC00000057,INS00000057,USR000072,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-03-28T22:00:20
REC00000058,INS00000058,USR000073,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-06-08T19:00:20
REC00000059,INS00000059,USR000075,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-08-30T08:00:20
REC00000060,INS00000060,USR000076,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000061,INS00000061,USR000076,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-05-04T04:00:20
REC00000062,INS00000062,USR000077,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-06-18T15:00:20
REC00000063,INS00000063,USR000078,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-05-16T19:00:20
REC00000064,INS00000064,USR000081,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,low,2026-04-22T08:00:20
REC00000065,INS00000065,USR000082,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-05-20T06:00:20
REC00000066,INS00000066,USR000083,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-02-05T13:00:20
REC00000067,INS00000067,USR000084,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-12T10:00:20
REC00000068,INS00000068,USR000085,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-05-08T12:00:20
REC00000069,INS00000069,USR000086,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-09-06T21:00:20
REC00000070,INS00000070,USR000087,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-06-04T05:00:20
REC00000071,INS00000071,USR000088,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-09-14T12:00:20
REC00000072,INS00000072,USR000089,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-01-08T00:00:20
REC00000073,INS00000073,USR000090,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-06-12T23:00:20
REC00000074,INS00000074,USR000092,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-03-24T10:00:20
REC00000075,INS00000075,USR000093,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-09-14T12:00:20
REC00000076,INS00000076,USR000093,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,medium,2026-08-29T14:00:20
REC00000077,INS00000077,USR000094,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,low,2026-09-14T12:00:20
REC00000078,INS00000078,USR000095,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-07-31T03:00:20
REC00000079,INS00000079,USR000095,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-02-16T03:00:20
REC00000080,INS00000080,USR000097,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,medium,2026-06-15T07:00:20
REC00000081,INS00000081,USR000098,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,low,2026-09-11T10:00:20
REC00000082,INS00000082,USR000099,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,low,2026-08-18T22:00:20
REC00000083,INS00000083,USR000099,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-06-25T06:00:20
REC00000084,INS00000084,USR000101,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000085,INS00000085,USR000103,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-08-27T06:00:20
REC00000086,INS00000086,USR000104,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-03-27T06:00:20
REC00000087,INS00000087,USR000106,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,low,2026-08-08T13:00:20
REC00000088,INS00000088,USR000107,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-09-14T12:00:20
REC00000089,INS00000089,USR000109,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-11T19:00:20
REC00000090,INS00000090,USR000112,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-04-07T00:00:20
REC00000091,INS00000091,USR000113,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-02-15T00:00:20
REC00000092,INS00000092,USR000115,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-06-14T11:00:20
REC00000093,INS00000093,USR000117,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-01-02T22:00:20
REC00000094,INS00000094,USR000118,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-07-23T14:00:20
REC00000095,INS00000095,USR000119,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-02-22T17:00:20
REC00000096,INS00000096,USR000121,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-06-06T15:00:20
REC00000097,INS00000097,USR000122,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-09-14T12:00:20
REC00000098,INS00000098,USR000123,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-06-16T09:00:20
REC00000099,INS00000099,USR000123,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,low,2026-08-03T08:00:20
REC00000100,INS00000100,USR000128,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,medium,2026-07-14T17:00:20
REC00000101,INS00000101,USR000129,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000102,INS00000102,USR000130,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,low,2026-07-20T00:00:20
REC00000103,INS00000103,USR000132,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-04-25T21:00:20
REC00000104,INS00000104,USR000132,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-08-18T20:00:20
REC00000105,INS00000105,USR000134,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,low,2026-01-27T13:00:20
REC00000106,INS00000106,USR000134,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-05-08T20:00:20
REC00000107,INS00000107,USR000135,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-13T03:00:20
REC00000108,INS00000108,USR000135,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,medium,2026-09-14T12:00:20
REC00000109,INS00000109,USR000136,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-05-04T01:00:20
REC00000110,INS00000110,USR000137,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,low,2026-08-13T11:00:20
REC00000111,INS00000111,USR000138,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-09-14T12:00:20
REC00000112,INS00000112,USR000138,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-09-14T12:00:20
REC00000113,INS00000113,USR000139,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-07-12T01:00:20
REC00000114,INS00000114,USR000141,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-03-27T23:00:20
REC00000115,INS00000115,USR000144,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-05-02T10:00:20
REC00000116,INS00000116,USR000145,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-04-02T09:00:20
REC00000117,INS00000117,USR000145,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,low,2026-02-23T07:00:20
REC00000118,INS00000118,USR000146,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-03-13T13:00:20
REC00000119,INS00000119,USR000146,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-01T06:00:20
REC00000120,INS00000120,USR000147,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-03-27T14:00:20
REC00000121,INS00000121,USR000148,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T03:00:20
REC00000122,INS00000122,USR000148,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-06-04T00:00:20
REC00000123,INS00000123,USR000149,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-08-15T00:00:20
REC00000124,INS00000124,USR000150,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,medium,2026-02-21T16:00:20
REC00000125,INS00000125,USR000150,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-01-26T16:00:20
REC00000126,INS00000126,USR000152,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-01-09T20:00:20
REC00000127,INS00000127,USR000154,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-02-05T12:00:20
REC00000128,INS00000128,USR000155,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-06-12T18:00:20
REC00000129,INS00000129,USR000156,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-04-07T23:00:20
REC00000130,INS00000130,USR000158,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-06-07T20:00:20
REC00000131,INS00000131,USR000162,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-07-07T19:00:20
REC00000132,INS00000132,USR000166,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-07-28T13:00:20
REC00000133,INS00000133,USR000167,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-08T01:00:20
REC00000134,INS00000134,USR000168,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-06-04T03:00:20
