cognitive_domain,difficulty_level,mean,std,size
attention,1,0.8472939493975903,0.10176653530007668,830
attention,2,0.8289731738594328,0.11013942420565706,811
attention,3,0.7969434745341615,0.11424335049148732,805
attention,4,0.7684566496437054,0.11757041665607089,842
executive_function,1,0.8456055860409146,0.10132855545923337,831
executive_function,2,0.8244489094339622,0.10630991907240218,795
executive_function,3,0.7999491825876663,0.11119351009162219,827
executive_function,4,0.773674546482412,0.12119135257722993,796
language,1,0.84803695125,0.09655980735322268,800
language,2,0.8255366221959858,0.10733641963011964,847
language,3,0.8023549207920792,0.11543902935320914,808
language,4,0.7766681179422836,0.11908729244377465,797
memory,1,0.8429116650660263,0.10516604750781183,833
memory,2,0.8177581610824742,0.10842818331899044,776
memory,3,0.80375652875,0.10906844949835005,800
memory,4,0.7759216147540984,0.1158141000793573,854
processing_speed,1,0.846371,0.10367030239626258,831
processing_speed,2,0.8217614731585519,0.10867333501382517,801
processing_speed,3,0.8024123848069739,0.11019100234235135,803
processing_speed,4,0.7761133855878636,0.11837848503511667,791
